silname,newname
LtnCapHDescDep,Hdescenderdep
LtnCapJCrossedTailDep,Jcrossedtaildep
LtnCapJStrkDep,Jstrokedep
LtnCapKDescDep,Kdescenderdep
LtnCapLBarDep,Lbardep
LtnCapLMiddleTildeDep,Lmiddletildedep
LtnCapMHookDep,Mhookdep
LtnCapPStrkDep,Pstrokedep
LtnCapRBarredStemDep,Rstrokedep
LtnCapRHookTailDep,Rtaildep
LtnCapSaltilloDep,Saltillodep
LtnCapSmAlphaDep,Alphadep-latin
LtnCapSmQHookTailDep,Qhooktaildep
LtnCapSmTurnedAlphaDep,Alphaturneddep-latin
LtnCapTurnedHDep,Hturneddep
LtnCapTurnedVDep,Vturneddep
LtnCapUBarDep,Ubardep
LtnCapWHookDep,Whookdep
LtnCapYStrkDep,Ystrokedep
LtnCapZDescDep,Zdescenderdep
LtnCapZPalHookDep,ZPalatalhookdep
LtnSmAlphaRetrHookDep,alpharetroflexhookdep
LtnSmARetrHookDep,aretroflexhookdep
LtnSmAtDep,atdep
LtnSmBMiddleTildeDep,bmiddletildedep
LtnSmBPalHookDep,bpalatalhookdep
LtnSmCapIStrkDep,Ismallstrokedep
LtnSmCapLBeltDep,Lsmallbeltdep
LtnSmCapUBarDep,Usmallstrokedep
LtnSmCPalHookDep,cPalatalhookdep
LtnSmCStrkDep,cstrokedep
LtnSmCuatrilloDep,cuatrillodep
LtnSmDBDigraphDep,dbdigraphdep
LtnSmDblBarredLDep,ldoublebardep
LtnSmDMiddleTildeDep,dmiddletildedep
LtnSmDPalHookDep,dpalatalhookdep
LtnSmDTailHookDep,dhookandtaildep
LtnSmERetrHookDep,eretroflexhookdep
LtnSmEshHookDep,eshretroflexhookdep
LtnSmEshPalHookDep,eshpalatalhookdep
LtnSmEStrkDep,estrokedep
LtnSmEzhHookDep,ezhretroflexhookdep
LtnSmEzhPalHookDep,ezhpalatalhookdep
LtnSmFMiddleTildeDep,fmiddletildedep
LtnSmFPalHookDep,fpalatalhookdep
LtnSmGlottalStopDep,glottalstopsmalldep
LtnSmHDescDep,hdescenderdep
LtnSmHengDep,hengdep
LtnSmIotaStrkDep,iotastrokedep
LtnSmIRetrHookDep,iretroflexhookdep
LtnSmJStrkDep,jstrokedep
LtnSmKDescDep,kdescenderdep
LtnSmKPalHookDep,kpalatalhookdep
LtnSmLPalHookDep,lpalatalhookdep
LtnSmLRetrHookBeltDep,lretroflexhookandbeltdep
LtnSmMMiddleTildeDep,mmiddletildedep
LtnSmMPalHookDep,mpalatalhookdep
LtnSmNMiddleTildeDep,nmiddletildedep
LtnSmNPalHookDep,npalatalhookdep
LtnSmOpnERetrHookDep,eopenretroflexhookdep
LtnSmOpnORetrHookDep,oopenretroflexhookdep
LtnSmPMiddleTildeDep,pmiddletildedep
LtnSmPPalHookDep,ppalatalhookdep
LtnSmPStrkDep,pstrokedep
LtnSmQHookTailDep,qhooktaildep
LtnSmQPDigraphDep,qpdigraphdep
