glyph_name,ps_name,sort_final_cdg,sort_final_a,assoc_feat_cdg,assoc_feat_a,assoc_feat_val,assoc_uids_cdg,assoc_uids_a,temp_usv,glyphsapp_name,to_review
LtnSmTeshDigraph.NoTailT,uni02A7.NoTailT,32912.11,32912.11,,cv56,,,02A7,,tesh.NoTailT,
ModSmTeshDigraph.NoTailT,u107AE.NoTailT,32912.23,32912.23,,cv56,,,107AE,,teshmod.NoTailT,
LtnSmTeshRetrHook.NoTailT,u1DF1C.NoTailT,32912.64,32912.64,,cv56,,,1DF1C,,teshhookretroflex.NoTailT,
LtnSmTeshPalHook.NoTailT,u1DF17.NoTailT,32912.65,32912.65,,cv56,,,1DF17,,teshpalatalhook.NoTailT,
LtnSmTzDigraph.NoTailT,uniA729.NoTailT,32913.1,32913.1,,cv56,,,A729,,tz.NoTailT,
LtnSmTurnedT.NoTailT,uni0287.NoTailT,32920.1,32920.1,,cv56,,,0287,,tturned.NoTailT,
LtnSmTurnedTCurl.NoTailT,u1DF0D.NoTailT,32920.91,32920.91,,cv56,,,1DF0D,,tturnedcurl.NoTailT,
LtnSmYOgonek.NoTailY,y_ogonek.NoTailY,33400.62,33400.62,,cv67,,,0079 0328,,,NotInGlyphsApp
LtnSmYOgonek.NoTailY.RetroHook,y_ogonek.NoTailY.RetroHook,33400.63,33400.63,,,,,0079 0328,,,NotInGlyphsApp
LtnSmY.NoTailY,y.NoTailY,33401.1,33401.1,,cv67,,,0079,,y.NoTailY,
ModSmY.NoTailY,uni02B8.NoTailY,33401.23,33401.23,,cv67,,,02B8,,ymod.NoTailY,
LtnSmYAcute.NoTailY,yacute.NoTailY,33401.311,33401.311,,cv67,,,00FD,,yacute.NoTailY,
LtnSmYGrave.NoTailY,ygrave.NoTailY,33401.313,33401.313,,cv67,,,1EF3,,ygrave.NoTailY,
LtnSmYCircum.NoTailY,ycircumflex.NoTailY,33401.32,33401.32,,cv67,,,0177,,ycircumflex.NoTailY,
LtnSmYTilde.NoTailY,uni1EF9.NoTailY,33401.34,33401.34,,cv67,,,1EF9,,ytilde.NoTailY,
LtnSmYMacron.NoTailY,uni0233.NoTailY,33401.35,33401.35,,cv67,,,0233,,ymacron.NoTailY,
LtnSmYDiaer.NoTailY,ydieresis.NoTailY,33401.36,33401.36,,cv67,,,00FF,,ydieresis.NoTailY,
LtnSmYDotAbv.NoTailY,uni1E8F.NoTailY,33401.371,33401.371,,cv67,,,1E8F,,ydotaccent.NoTailY,
LtnSmYRingAbv.NoTailY,uni1E99.NoTailY,33401.373,33401.373,,cv67,,,1E99,,yring.NoTailY,
LtnSmYHookAbv.NoTailY,uni1EF7.NoTailY,33401.38,33401.38,,cv67,,,1EF7,,yhookabove.NoTailY,
LtnSmYDotBlw.NoTailY,uni1EF5.NoTailY,33401.471,33401.471,,cv67,,,1EF5,,ydotbelow.NoTailY,
LtnSmYStrk.NoTailY,uni024F.NoTailY,33401.71,33401.71,,cv67,,,024F,,ystroke.NoTailY,
LtnSmYHook.NoTailY,uni01B4.NoTailY,33401.87,33401.87,,cv67,,,01B4,,yhook.NoTailY,
LtnSmYHook.RtHook.NoTailY,uni01B4.RtHook.NoTailY,33401.871,33401.871,,cv67,,,01B4,,yhook.RtHook.NoTailY,
ModSmTurnedYBelt.NoTailY,u107A1.NoTailY,33420.9223,33420.9223,,cv67,,,107A1,,yturnedbeltmod.NoTailY,
LtnSmTurnedY.NoTailY,uni028E.NoTailY,33421.1,33421.1,,cv67,,,028E,,yturned.NoTailY,
ModSmTurnedY.NoTailY,u107A0.NoTailY,33421.23,33421.23,,cv67,,,107A0,,yturnedmod.NoTailY,
LtnSmTurnedYBelt.NoTailY,u1DF06.NoTailY,33421.92,33421.92,,cv67,,,1DF06,,yturnedbeld.NoTailY,
DigitZero.Slash,zero.Slash,34001.1,34001.1,,cv10,,,0030,,zero.Slash,
SubZero.Slash,uni2080.Slash,34001.2,34001.2,,cv10,,,2080,,zeroinferior.Slash,
DigitZero.subs.Slash,zero.subs.Slash,34001.21,34001.21,,,,,,,zero.subs.Slash,
DigitZero.dnom.Slash,zero.dnom.Slash,34001.3,34001.3,,,,,,,zero.dnom.Slash,
DigitZero.numr.Slash,zero.numr.Slash,34001.4,34001.4,,,,,,,zero.numr.Slash,
SupZero.Slash,uni2070.Slash,34001.5,34001.5,,cv10,,,2070,,zerosuperior.Slash,
DigitZero.sups.Slash,zero.sups.Slash,34001.51,34001.51,,,,,,,zero.sups.Slash,
DigitOne.NoBase,one.NoBase,34011.1,34011.1,,cv01,,,0031,,one.NoBase,
SubOne.NoBase,uni2081.NoBase,34011.2,34011.2,,cv01,,,2081,,oneinferior.NoBase,
DigitOne.subs.NoBase,one.subs.NoBase,34011.21,34011.21,,,,,,,one.subs.NoBase,
DigitOne.dnom.NoBase,one.dnom.NoBase,34011.3,34011.3,,,,,,,one.dnom.NoBase,
DigitOne.numr.NoBase,one.numr.NoBase,34011.4,34011.4,,,,,,,one.numr.NoBase,
SupOne.NoBase,onesuperior.NoBase,34011.5,34011.5,,cv01,,,00B9,,onesuperior.NoBase,
DigitOne.sups.NoBase,one.sups.NoBase,34011.51,34011.51,,,,,,,one.sups.NoBase,
DigitFour.Open,four.Open,34041.1,34041.1,,cv04,,,0034,,four.Open,
SubFour.Open,uni2084.Open,34041.2,34041.2,,cv04,,,2084,,fourinferior.Open,
DigitFour.subs.Open,four.subs.Open,34041.21,34041.21,,,,,,,four.subs.Open,
DigitFour.dnom.Open,four.dnom.Open,34041.3,34041.3,,,,,,,four.dnom.Open,
DigitFour.numr.Open,four.numr.Open,34041.4,34041.4,,,,,,,four.numr.Open,
SupFour.Open,uni2074.Open,34041.5,34041.5,,cv04,,,2074,,foursuperior.Open,
DigitFour.sups.Open,four.sups.Open,34041.51,34041.51,,,,,,,four.sups.Open,
DigitSix.Diag,six.Diag,34061.1,34061.1,,cv06,,,0036,,six.Diag,
SubSix.Diag,uni2086.Diag,34061.2,34061.2,,cv06,,,2086,,sixinferior.Diag,
DigitSix.subs.Diag,six.subs.Diag,34061.21,34061.21,,,,,,,six.subs.Diag,
